title,author,publisher,price,language,pages,genre,category,target,EAN,code,year,url
Виктор Попков / Viktor Popkov,Վլադիմիր Լեվաշով,,2300 դրամ,,,Ոչ գեղարվեստական,Արվեստ և մշակույթ,,,,,https://zangakbookstore.am/viktor-popkov-viktor-popkov
Бульдозерная выставка / The Bulldozer Exhibition,Վիկտոր Ագամով-Տուպիցին,,2300 դրամ,,,Ոչ գեղարվեստական,Արվեստ և մշակույթ,,,,,https://zangakbookstore.am/buldozernaya-vistavka-the-bulldozer-exhibition
Мунк,Ստեֆեն Քվերնելան,,14000 դրամ,,,Կոմիքսներ,Գրաֆիկական վեպեր,,,,,https://zangakbookstore.am/munk
Художницы,Ֆլավիա Ֆրիջերի,,9200 դրամ,,,Ոչ գեղարվեստական,Արվեստ և մշակույթ,,,,,https://zangakbookstore.am/khudozhnitsi
Как смотреть на картины,Սյուզեն Վուդֆորդ,,9200 դրամ,,,Ոչ գեղարվեստական,Արվեստ և մշակույթ,,,,,https://zangakbookstore.am/kak-smotret-na-kartini
Ключевые моменты в искусстве,Լի Չեշիր,,8200 դրամ,,,Ոչ գեղարվեստական,Արվեստ և մշակույթ,,,,,https://zangakbookstore.am/klyuchevie-momenti-v-iskusstve
Поп-арт,Ֆլավիա Ֆրիջերի,,8400 դրամ,,,Ոչ գեղարվեստական,Արվեստ և մշակույթ,,,,,https://zangakbookstore.am/pop-art
Луиз Буржуа: ящик Пандоры,Օլեսյա Տուրկինա,,3100 դրամ,,,Ոչ գեղարվեստական,Արվեստ և մշակույթ,,,,,https://zangakbookstore.am/luiz-burzhua-yashchik-pandori
Белый негр. Поверхностные размышления о хипстере,Նորման Մեյլեր,,3000 դրամ,,,Ոչ գեղարվեստական,Հրապարակախոսություն,,,,,https://zangakbookstore.am/beliy-negr-poverkhnostnie-razmishleniya-o-khipstere
Справочник куратора,Ջորջ Էդրիան,,11200 դրամ,,,Ոչ գեղարվեստական,Արվեստ և մշակույթ,,,,,https://zangakbookstore.am/spravochnik-kuratora
Почему нельзя научить искусству,Ջեյմս Էլքինս,,7500 դրամ,,,Ոչ գեղարվեստական,Արվեստ և մշակույթ,,,,,https://zangakbookstore.am/pochemu-nelzya-nauchit-iskusstvu
Принцип кураторства. Роль выбора в эпоху переизбытка,Մայքլ Բասկար,,6600 դրամ,,,Ոչ գեղարվեստական,Հասարակական գիտություններ,,,,,https://zangakbookstore.am/printsip-kuratorstva-rol-vibora-v-epokhu-pereizbitka
"Бормотание художественного множества. Глобальное искусство, политика и постфордизм",Պասկալ Գիլեն,,6100 դրամ,,,Ոչ գեղարվեստական,Նորաձևություն և ոճ,,,,,https://zangakbookstore.am/bormotanie-khudozhestvennogo-mnozhestva-globalnoe-iskusstvo-politika-i-postfordizm
Нелюбимая дочь. Как оставить в прошлом травматичные отношения с матерью и начать новую жизнь,,,6200 դրամ,,,Ոչ գեղարվեստական,Հոգեբանություն,,,,,https://zangakbookstore.am/nelyubimaya-doch-kak-ostavit-v-proshlom-travmatichnie-otnosheniya-s-materyu-i-nachat-novuyu-zhizn
Психология для сценаристов: Построение конфликта в сюжете + покет,Ուիլյամ Ինդիկ,,4100 դրամ,,,Ոչ գեղարվեստական,Կինո և թատրոն,,,,,https://zangakbookstore.am/psikhologiya-dlya-stsenaristov
Наука денег,Բրայան Թրեյսի,,5900 դրամ,,,Ոչ գեղարվեստական,Բիզնես և տնտեսագիտություն,,,,,https://zangakbookstore.am/nauka-deneg
Хочу и буду,Միխայիլ Լաբկովսկի,,6800 դրամ,,,Ոչ գեղարվեստական,Ինքնազարգացում և մոտիվացիա,,,,,https://zangakbookstore.am/khochu-i-budu
