Գույնը,ISBN,Հեղինակ,Էջերի քանակը,Կոդ,Տարեթիվ,Կազմ,Արտադրող,User ID,Երկիր,Լեզու,Լրացուցիչ նկարներ
,,Սևակ,,K035292,,,,,Հայաստան,Հայերեն,
,,Ագոտա Կրիստոֆ,,K034053,,,,,Հայաստան,Հայերեն,
,,,,K032024,,,,,,Հայերեն,
,,Թոփչյան Ալեքսանդր,232,K031929,,,,,,,
,,,,K015135,2021,,,,Հայաստան,Հայերեն,
,,Գրիգոր Նարեկացի,,029873,,,,,Հայաստան,Հայերեն,
,,,,K36102,2019,,,,Հայաստան,Հայերեն,
,,Ваграм Балаян,,K048922,,,,,Հայաստան,Ռուսերեն,
,,Արմեն Դավթյան,,K048891,,,,,Հայաստան,Հայերեն,
,,Адамян Роберт Тигранович,,K39294,,,,,Հայաստան,Ռուսերեն,
,,,,K37224,1994,,,,Հայաստան,Հայերեն,
,,,,K32107,,,,,,Հայերեն,
,,Ժորժ Ռոդենբախ,250,K30330,,,,,,,
,,,,K22973,2006,,,,Հայաստան,Հայերեն,
Դեղին,99941-37-08-5,Ժորժ Սիմենոն,256,,,,,,,,
,,Մաքս Ֆրիշ,,K048921,,,,,Հայաստան,Հայերեն,
,,Նիկոլա Բուվիե,61,K048919,,,,,,,
,,Boccaccio Goivanni,848,K035116,,,,,,,
,,Safaryan H.,126,K11126,,,,,,,
,,,,K048918,2022,,,,Հայաստան,Հայերեն,
,,,,K034474,2019,,,,Հայաստան,Ռուսերեն,
,,,48,70741,2018,Կոշտ,,,,,
,,,,K94652,2017,,,,Հայաստան,Հայերեն,
,,Գրիգոր Նարեկացի,,K94651,,,,,Հայաստան,Հայերեն,
,,Գրիմ Եղբայրներ,80,K71288,,,,,,,
,,,,K7117403,,,,,,Հայերեն,
,,,,K7117401,2013,,,,Հայաստան,Հայերեն,
,,Ժան - Ֆրանսուա Լիոտար,,K048916,,,,,Հայաստան,Հայերեն,
,,,,K048911,2022,,,,Հայաստան,Հայերեն,
,,,,K022698,2017,,,,Հայաստան,Հայերեն,
,,,,K035333,2019,,,,Հայաստան,Հայերեն,
,,Raymond Murphy,319,1637001,,,,,,,
,,,28,048906,2020,,,,,,
,,,25,048904,,Կոշտ,,,,,
,,,10,029924,,Կոշտ,,,,,
,,,10,029923,,Կոշտ,,,,,
,,,10,029921,,Կոշտ,,,,,
,,,,029573,,,,,,Հայերեն,
,,,,029567,,,,,,Հայերեն,
,,,32,029565,2020,,,,,,
,,,32,029557,2018,,,,,,
,,,,029551,,,,,,Հայերեն,
,,,,029525,,,,,,Հայերեն,
,,,,029520,2018,,,,,Հայերեն,
,,,,029519,,,,,,Հայերեն,
,,,,K048903,2022,,,,Հայաստան,Հայերեն,
,,Lusine Kasbarian,,K035022,,,,,,Անգլերեն,
,,Pierre Labrousse,478,K048900,,,,,,,
,,,,K94657,2016,,,,Հայաստան,Հայերեն,
,,,160,K6978,2022,,,,,,
,,Варпетян Алеясандр,,K30715,,,,,Հայաստան,Ռուսերեն,
,,,,K15906,2003,,,,Հայաստան,Հայերեն,
,,,,K032025,2016,,,,,Հայերեն,
